Author	Title	Tags	Directory
Joan D. Vinge	The Snow Queen	1980, Fiction, novel, Hugo-Award-for-Best-Novel, Novel, Locus-Award-for-Best-Science-Fiction, science-fiction, Locus-Award-for-Best-Science-Fiction1981, Nebula-Award-for-Best-Novel-Finalist, Locus-Award-For-Best-Science-Fiction, Hugo-Award-for-Best-Novel1981, Dial Press, science fiction	science-fiction
Arthur Maling	The Rheingold Route	1980, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Robert Silverberg	Lord Valentine's Castle	Locus-Award-for-Best-Fantasy-Fiction, 1980, Locus-Award-for-Best-Fantasy1981	fantasy-fiction
John Kennedy Toole	A Confederacy of Dunces	1980, Fiction, BBC-100-Most-Inspiring-Novels, Novel, Rule-Breakers, American, Pulitzer Prize for Fiction (1981)	fiction
Thomas M. Disch	On Wings of Song	1980, St. Martin's Press, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, science-fiction	science-fiction
Arthur C. Clarke	The Fountains of Paradise	1979, Novel, Hugo-Award-for-Best-Novel, Harcourt Brace Jovanovich, Nebula-Award-for-Best-Novel1979, Victor Gollancz Ltd, Nebula-Award-for-Best-Novel, Hugo-Award-for-Best-Novel1980, science-fiction	science-fiction
Ken Follett	The Eye of the Needle	Edgar-Allen-Poe-Award-for-Best-Novel-Winner, 1979	mystery-fiction
John Varley	Titan	Locus-Award-for-Best-Science-Fiction, Locus-Award-for-Best-Science-Fiction1980, 1979	science-fiction
Patricia A. McKillip	Harpist in the Wind	Locus-Award-for-Best-Fantasy-Fiction, Locus-Award-for-Best-Fantasy1980, 1979	fantasy-fiction
Michael Moorcock	Gloriana	1979, Novel, science-fiction, Avon Publications, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel	science-fiction
M. M. Kaye	The Far Pavilions	Fiction, British, 1978, BBC-100-Most-Inspiring-Novels, Novel, Love-Sex-Romance	fiction
Ken Follett	Eye of the Needle	Fiction, BBC-100-Most-Inspiring-Novels, Winner, 1978, Novel, Edgar-Allan-Peo-Award-For-Best-Novel	fiction
Armistead Maupin	Tales of the City	Family-Friendship, BBC-100-Most-Inspiring-Novels, Fiction, 1978, Novel, American	fiction
Vonda N. McIntyre	Dreamsnake	Hugo-Award-for-Best-Novel1979, 1978, Houghton Mifflin, Novel, novel, science fiction, Nebula-Award-for-Best-Novel, Nebula-Award-for-Best-Novel1978, science-fiction	science-fiction
William H. Hallahan	Catch Me: Kill Me	1978, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
James Falconer	Falconer	Novel, 1977, Fiction, Times-All-Time-100-Novels	fiction
Frederik Pohl	Gateway	St. Martin's Press, 1978, novel, 1977, Hugo-Award-for-Best-Novel, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, science-fiction, Nebula-Award-for-Best-Novel1977, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Nebula-Award-for-Best-Novel, Galaxy Science Fiction, Hugo-Award-for-Best-Novel1978, science fiction	science-fiction
Robert B. Parker	Promised Land	1977, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
J. R. R. Tolkien	The Silmarillion	Locus-Award-for-Best-Fantasy-Fiction, 1977, Locus-Award-for-Best-Fantasy1978	fantasy-fiction
Kingsley Amis	The Alteration	Novel, 1977, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Viking Press, science-fiction	science-fiction
Frederik Pohl	Man Plus	1976, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Random House, science-fiction, Nebula-Award-for-Best-Novel1976, The Magazine of Fantasy, Science Fiction	science-fiction
Kate Wilhelm	Where Late the Sweet Birds Sang	1976, Hugo-Award-for-Best-Novel, novel, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, science-fiction, Hugo-Award-for-Best-Novel1977, Nebula-Award-for-Best-Novel-Finalist, Row, Harper, science fiction	science-fiction
Brian Garfield	Hopscotch	1976, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Judy Blume	Forever...	Fiction, BBC-100-Most-Inspiring-Novels, Novel, 1975, American, Love-Sex-Romance	fiction
E.L. Doctorow	Ragtime	Novel, 1975, Fiction, Times-All-Time-100-Novels	fiction
Joe Haldeman	The Forever War	St. Martin's Press, Novel, Hugo-Award-for-Best-Novel, novel, 1975, science-fiction, Hugo-Award-for-Best-Novel1976, Nebula-Award-for-Best-Novel1975, science fiction	science-fiction
Jon Cleary	Peter’s Pence	1975, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Philip K. Dick	Flow My Tears, the Policeman Said	Doubleday, Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, 1975, science-fiction	science-fiction
Robert Stone	Dog Soldiers	Novel, 1974, Fiction, Times-All-Time-100-Novels	fiction
Ursula K. Le Guin	The Dispossessed	novel, Hugo-Award-for-Best-Novel, 1974, Novel, Nebula-Award-for-Best-Novel, science fiction, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel-Finalist, Nebula-Award-for-Best-Novel1974, Hugo-Award-for-Best-Novel1975, Row, Harper, science-fiction	science-fiction
Tony Hillerman	Dance Hall of the Dead	1974, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Robert Merle	Malevil	Novel, 1974, science-fiction, Simon & Schuster, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel	science-fiction
Thomas Pynchon	Gravity’s Rainbow	Novel, Fiction, 1973, Times-All-Time-100-Novels	1973, National Book Award for Fiction (1974)
Carolyn Chute	The Man Who Loved Children	Novel, Fiction, 1973, Times-All-Time-100-Novels	fiction
Arthur C. Clarke	Rendezvous with Rama	Novel, Hugo-Award-for-Best-Novel, novel, 1973, Harcourt Brace Jovanovich, science-fiction, Hugo-Award-for-Best-Novel1974, Nebula-Award-for-Best-Novel1973, John-W.-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Nebula-Award-for-Best-Novel, Galaxy Science Fiction, science fiction	science-fiction
Warren Kiefer	The Lingala Code	1973, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Barry N. Malzberg	Beyond Apollo	Novel, John-W-Campbell-Memorial-Award-for-Best-Science-Fiction-Novel, Random House, 1973, science-fiction	science-fiction
Isaac Asimov	The Gods Themselves	novel, Hugo-Award-for-Best-Novel, Novel, 1972, science-fiction, Nebula-Award-for-Best-Novel1972, Hugo-Award-for-Best-Novel1973, Nebula-Award-for-Best-Novel, Galaxy Science Fiction, science fiction	science-fiction
Frederick Forsyth	The Day of the Jackal	1972, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Robert Silverberg	A Time of Changes	Novel, 1971, Nebula-Award-for-Best-Novel1971, Nebula-Award-for-Best-Novel, Galaxy Science Fiction, science-fiction	science-fiction
Philip José Farmer	To Your Scattered Bodies Go	Novel, Hugo-Award-for-Best-Novel, novel, science fiction, 1971, Hugo-Award-for-Best-Novel1972, Putnam Publishing Group, science-fiction	science-fiction
Maj Sjowall & Per Wahloo	The Laughing Policeman	Edgar-Allen-Poe-Award-for-Best-Novel-Winner, 1971	mystery-fiction
Judy Blume	Are You There God? It’s Me, Margaret	Novel, Fiction, 1970, Times-All-Time-100-Novels	fiction
Joan Didion	Play It As It Lays	Novel, Fiction, 1970, Times-All-Time-100-Novels	fiction
James Dickey	Deliverance	Novel, Fiction, 1970, Times-All-Time-100-Novels	fiction
Alice Walker	Loving	Novel, Fiction, 1970, Times-All-Time-100-Novels	fiction
Larry Niven	Ringworld	Ballantine Books, Hugo-Award-for-Best-Novel, novel, Novel, science-fiction, 1970, Nebula-Award-for-Best-Novel1970, Hugo-Award-for-Best-Novel1971, Nebula-Award-for-Best-Novel, science fiction	science-fiction
Dick Francis	Forfeit	1970, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Patrick O’Brian	The Jack Aubrey Novels (series)	Fiction, British, BBC-100-Most-Inspiring-Novels, 1969, Novel, Adventure	fiction
James Plunkett	Strumpet City	1969, Fiction, BBC-100-Most-Inspiring-Novels, Novel, Irish, Politics-Power-Protest	fiction
Philip K. Dick	Ubik	Fiction, 1969, Novel, novel, science fiction, Times-All-Time-100-Novels	science-fiction
Philip Roth	Portnoy’s Complaint	Novel, 1969, Fiction, Times-All-Time-100-Novels	fiction
Kurt Vonnegut	Slaughterhouse Five	Novel, 1969, Fiction, Times-All-Time-100-Novels	1969, Hugo Award Nominee (1970)
John Fowles	The French Lieutenant’s Woman	Novel, 1969, Fiction, Times-All-Time-100-Novels	fiction
Ursula K. Le Guin	The Left Hand of Darkness	Ace Books, 1969, Novel, Hugo-Award-for-Best-Novel, novel, science fiction, Hugo-Award-for-Best-Novel1970, Nebula-Award-for-Best-Novel, Nebula-Award-for-Best-Novel1969, science-fiction	science-fiction
Jeffery Hudson	A Case of Need	1969, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Alexei Panshin	Rite of Passage	Ace Books, 1968, Novel, Nebula-Award-for-Best-Novel, Nebula-Award-for-Best-Novel1968, science-fiction	science-fiction
Donald E. Westlake	God Save the Mark	1968, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
John Brunner	Stand on Zanzibar	Doubleday, 1967-1968, 1968, novel, BSFA Award, Hugo-Award-for-Best-Novel, 1967, Novel, science fiction, Hugo-Award-for-Best-Novel1969, Prix Tour-Apollo Award, Nebula-Award-for-Best-Novel-Finalist, science-fiction	science-fiction
S. E. Hinton	The Outsiders	Fiction, BBC-100-Most-Inspiring-Novels, Novel, Coming-of-Age, 1967, American	fiction
Nell Dunn	Poor Cow	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, 1967, Class-Society	fiction
William Styron	The Confessions of Nat Turner	Fiction, Novel, 1967, Pulitzer Prize for Fiction (1968), Times-All-Time-100-Novels	Literature
Samuel R. Delany	The Einstein Intersection	Ace Books, novel, Novel, 1967, science-fiction, Nebula-Award-for-Best-Novel1967, Nebula-Award-for-Best-Novel, science fiction	science-fiction
Roger Zelazny	Lord of Light	Doubleday, novel, Hugo-Award-for-Best-Novel, 1967, Novel, science fiction, goodreads-4.05, Nebula-Award-for-Best-Novel-Finalist1968, Hugo-Award-for-Best-Novel1968, Nebula-Award-for-Best-Novel-Finalist, Hugo-Award-for-Best-Novel1967, science-fiction	science-fiction
Nicolas Freeling	The King of the Rainy Country	1967, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Thomas Pynchon	The Crying of Lot 49	Novel, 1966, Fiction, Times-All-Time-100-Novels	fiction
Jean Rhys	Wide Sargasso Sea	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, 1966, Class-Society, Times-All-Time-100-Novels	fiction
Samuel R. Delany	Babel-17	Ace Books, novel, Novel, 1966, science-fiction, Nebula-Award-for-Best-Novel1966, Nebula-Award-for-Best-Novel, science fiction	science-fiction
Daniel Keyes	Flowers for Algernon	, Nebula-Award-for-Best-Novel, 1966, Nebula-Award-for-Best-Novel1966	science-fiction
Robert A. Heinlein	The Moon Is a Harsh Mistressd	Novel, Hugo-Award-for-Best-Novel, 1966, If, Hugo-Award-for-Best-Novel1967, science-fiction	science-fiction
Adam Hall	The Quiller Memorandum	1966, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Jerzy Kosinski	The Painted Bird	1965, Fiction, Novel, Times-All-Time-100-Novels	fiction
Roger Zelazny	...And Call Me Conrad or This Immortal	, 1965, Hugo-Award-for-Best-Novel, Novel, science-fiction, Hugo-Award-for-Best-Novel1966, The-Magazine-of-Fantasy, Science-Fiction	science-fiction
John le Carré	The Spy Who Came in from the Cold	1965, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Frank Herbert	Dune	BBC-100-Most-Inspiring-Novels, 1965, Hugo-Award-for-Best-Novel, Novel, 1963, 1963-1965, Nebula-Award-for-Best-Novel1966, Hugo-Award-for-Best-Novel1966, Nebula-Award-for-Best-Novel, Chilton Company, science-fiction	science-fiction
Saul Bellow	Herzog	Novel, 1964, Fiction, Times-All-Time-100-Novels	fiction
Fritz Leiber	The Wanderer	Ballantine Books, Hugo-Award-for-Best-Novel, 1964, Novel, Hugo-Award-for-Best-Novel1965, science-fiction	science-fiction
Eric Ambler	The Light of Day	1964, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Sylvia Plath	The Bell Jar	Fiction, BBC-100-Most-Inspiring-Novels, Novel, 1963, American, Identity	fiction
John le Carré	The Spy Who Came in From the Cold	Novel, Fiction, 1963, Times-All-Time-100-Novels	fiction
Clifford D. Simak	Here Gather the Stars (also known as Way Station)	Novel, 1963, Galaxy Science Fiction, Hugo-Award-for-Best-Novel1964, science-fiction	science-fiction
Ellis Peters	Death and the Joyful Woman	1963, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Vladimir Nabokov	Pale Fire	Novel, 1962, Fiction, Times-All-Time-100-Novels	fiction
Ken Kesey	One Flew Over the Cuckoo’s Nest	Novel, 1962, Fiction, Times-All-Time-100-Novels	fiction
Doris Lessing	The Golden Notebook	Fiction, Nobel Prize in Literature (2007), Novel, 1962, Times-All-Time-100-Novels	fiction
Anthony Burgess	A Clockwork Orange	novel, 1962, science fiction, Times-All-Time-100-Novels	science-fiction
Philip K. Dick	The Man in the High Castle	novel, Hugo-Award-for-Best-Novel, Novel, science fiction, 1962, Hugo-Award-for-Best-Novel1963, Putnam Publishing Group, science-fiction	science-fiction
J.J. Marric	Gideon’s Fire	Edgar-Allen-Poe-Award-for-Best-Novel-Winner, 1962	mystery-fiction
Walker Percy	The Moviegoer	Novel, 1961, Fiction, Times-All-Time-100-Novels	1961, National Book Award for Fiction (1962)
V. S. Naipaul	A House for Mr. Biswas	Fiction, BBC-100-Most-Inspiring-Novels, Novel, 1961, Class-Society, Trinidadian, Times-All-Time-100-Novels	contemporary-fiction
Richard Yates	Revolutionary Road	Novel, 1961, Fiction, Times-All-Time-100-Novels	fiction
Muriel Spark	The Prime of Miss Jean Brodie	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, 1961, Class-Society, Times-All-Time-100-Novels	fiction
Joseph Heller	Catch-22	Novel, 1961, Fiction, Times-All-Time-100-Novels	fiction
Robert A. Heinlein	Stranger in a Strange Land	Science Fiction, novel, Hugo-Award-for-Best-Novel, Novel, 1961, science-fiction, Putnam Publishing Group, Hugo-Award-for-Best-Novel1962, Social Commentary, science fiction	science-fiction
Julian Symons	The Progress of a Crime	1961, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Edna O’Brien	The Country Girls	Fiction, BBC-100-Most-Inspiring-Novels, Novel, Irish, Coming-of-Age, 1960	fiction
John Updike	Rabbit, Run	Novel, Fiction, 1960, Times-All-Time-100-Novels	fiction
John Barth	The Sot-Weed Factor	Novel, Fiction, 1960, Times-All-Time-100-Novels	fiction
Harper Lee	To Kill a Mockingbird	Fiction, BBC-100-Most-Inspiring-Novels, Novel, Politics-Power-Protest, 1960, American, Pulitzer Prize for Fiction (1961), Times-All-Time-100-Novels	fiction
Celia Fremlin	The Hours Before Dawn	1960, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
William S. Burroughs	Naked Lunch	Novel, 1959, Fiction, Times-All-Time-100-Novels	fiction
Robert A. Heinlein	Starship Troopers	1959, Hugo Award for Best Novel (1960), novel, Hugo-Award-for-Best-Novel, Novel, science-fiction, science fiction, Military Fiction, Hugo-Award-for-Best-Novel1960, The Magazine of Fantasy, Science Fiction	science-fiction
Walter M. Miller	A Canticle for Leibowitz	1959, Novel, Hugo-Award-for-Best-Novel, J. B. Lippincott, Hugo-Award-for-Best-Novel1961, science-fiction	science-fiction
Alan Sillitoe	Saturday Night and Sunday Morning	1958, Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, Class-Society	fiction
Chinua Achebe	Things Fall Apart	1958, Fiction, BBC-100-Most-Inspiring-Novels, Nigerian, Novel, Identity, Times-All-Time-100-Novels	fiction
Fritz Leiber	The Big Time	1958, Novel, Hugo-Award-for-Best-Novel, Hugo-Award-for-Best-Novel1958, Galaxy Science Fiction, science-fiction	science-fiction
James Blish	A Case of Conscience	1958, Ballantine Books, Hugo-Award-for-Best-Novel, Novel, novel, science-fiction, Hugo-Award-for-Best-Novel1959, science fiction	science-fiction
Ed Lacy	Room to Swing	1958, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
James Agee	A Death in the Family	Fiction, Novel, 1957, Pulitzer Prize for Fiction (1958), Times-All-Time-100-Novels	1957, Pulitzer Prize for Fiction (1958)
Jack Kerouac	On the Road	Fiction, Novel, 1957, Le-Mondes-100-Books-of-the-Century, English, Times-All-Time-100-Novels	fiction
Bernard Malamud	The Assistant	Novel, Fiction, Times-All-Time-100-Novels, 1957	fiction
Charlotte Armstrong	A Dram of Poison	Edgar-Allen-Poe-Award-for-Best-Novel-Winner, 1957	mystery-fiction
James Baldwin	Giovanni's Room	Fiction, BBC-100-Most-Inspiring-Novels, Novel, 1956, American, Love-Sex-Romance	fiction
Robert A. Heinlein	Double Star	Astounding Science-Fiction, novel, Hugo-Award-for-Best-Novel, Novel, Hugo Award for Best Novel (1956), science fiction, 1956, science-fiction, Political Fiction, Hugo-Award-for-Best-Novel1956, Science Fiction	science-fiction
Margaret Millar	Beast in View	Edgar-Allen-Poe-Award-for-Best-Novel-Winner, 1956	mystery-fiction
Patricia Highsmith	The Talented Mr. Ripley	Fiction, BBC-100-Most-Inspiring-Novels, Novel, Crime-Conflict, 1955, American	fiction
Graham Greene	The Quiet American	BBC-100-Most-Inspiring-Novels, British, Fiction, Novel, Crime-Conflict, 1955	fiction
Brian Moore	The Lonely Passion of Judith Hearne	Fiction, BBC-100-Most-Inspiring-Novels, Novel, British-Canadian, 1955, Class-Society	fiction
William Gaddis	The Recognitions	Novel, Fiction, 1955, Times-All-Time-100-Novels	fiction
Vladimir Nabokov	Lolita	Fiction, Novel, 1955, Le-Mondes-100-Books-of-the-Century, English, Times-All-Time-100-Novels	fiction
Raymond Chandler	The Long Goodbye	1955, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
J. R. R. Tolkien	The Lord of the Rings	BBC-100-Most-Inspiring-Novels, Fiction, British, Novel, 1954, Adventure	fiction
William Golding	Lord of the Flies	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, Politics-Power-Protest, 1954, Times-All-Time-100-Novels	fiction
Martin Amis	Under the Net	1954, Fiction, Novel, Times-All-Time-100-Novels	fiction
Kingsley Amis	Lucky Jim	1954, Fiction, Novel, Times-All-Time-100-Novels	fiction
Frank Riley, Mark Clifton	They'd Rather Be Right (also known as The Forever Machine)	Astounding Science-Fiction, Novel, Hugo-Award-for-Best-Novel, 1954, 1954-1957, Hugo-Award-for-Best-Novel1955, science-fiction	science-fiction
Ray Bradbury	Fahrenheit 452	"Hugo-Award-for-Best-Novel2004, Ballantine Books, the Commonwealth Club of California Gold Medal, Retro-Hugos2004, Hugo-Award-for-Best-Novel, 1954, science fiction, Novel, Prometheus ""Hall of Fame"" Award (1984), Retro-Hugos, American Academy of Arts and Letters Award in Literature, science-fiction"	science-fiction
Charlotte Jay	Beat Not the Bones	1954, Edgar-Allen-Poe-Award-for-Best-Novel-Winner	mystery-fiction
Saul Bellow	The Adventures of Augie March	Novel, 1953, Fiction, Times-All-Time-100-Novels	1953, National Book Award for Fiction (1954)
James Baldwin	Go Tell it on the Mountain	Novel, 1953, Fiction, Times-All-Time-100-Novels	fiction
Isaac Asimov	The Mule	Astounding Science-Fiction, Novel, Hugo-Award-for-Best-Novel, 1953, Hugo-Award-for-Best-Novel1997, Retro-Hugos, Retro-Hugos1996, science-fiction	science-fiction
Ralph Ellison	Invisible Man	Novel, 1952, Fiction, Times-All-Time-100-Novels	1952, National Book Award for Fiction (1953)
Alfred Bester	The Demolished Man	Hugo-Award-for-Best-Novel1953, novel, Hugo-Award-for-Best-Novel, 1952, science fiction, 1952-1953, Galaxy Science Fiction, Hugo-Award-for-Best-Novel1952, science-fiction	science-fiction
J.D. Salinger	The Catcher in the Rye	Fiction, Novel, 1951, Le-Mondes-100-Books-of-the-Century, English, Times-All-Time-100-Novels	fiction
Anthony Powell	A Dance to the Music of Time	Fiction, Novel, 1951, 1951-1975, Times-All-Time-100-Novels	roman-fleuve
Robert A. Heinlein	Farmer in the Sky	Hugo-Award-for-Best-Novel2002, Retro-Hugos2001, Boys' Life, Novel, 1951, Hugo-Award-for-Best-Novel, Retro-Hugos, science-fiction	science-fiction
C. S. Lewis	The Chronicles of Narnia (series)	Life-Death-Other-Worlds, Fiction, British, BBC-100-Most-Inspiring-Novels, 1950, Novel	fiction
C.S. Lewis	The Lion, The Witch and the Wardrobe	1950, Fiction, Novel, Times-All-Time-100-Novels	fiction
George Orwell	1984	Fiction, Novel, Retro-Hugo Award (Hall of Fame), 1949, Times-All-Time-100-Novels	fiction
Paul Bowles	The Sheltering Sky	Novel, Fiction, 1949, Times-All-Time-100-Novels	fiction
George Orwell	Nineteen Eighty-Four	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, novel, Rule-Breakers, Le-Mondes-100-Books-of-the-Century, English, 1949, science fiction	fiction
Dodie Smith	I Capture the Castle	Family-Friendship, Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, 1948	fiction
Graham Greene	The Heart of the Matter	Novel, Fiction, 1948, Times-All-Time-100-Novels	fiction
Patrick Hamilton	The Slaves of Solitude	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, 1947, Love-Sex-Romance	fiction
Malcolm Lowry	Under the Volcano	Fiction, Novel, 1947, Le-Mondes-100-Books-of-the-Century, English, Times-All-Time-100-Novels	fiction
Robert Penn Warren	All the King’s Men	Fiction, Novel, Pulitzer Prize for Fiction (1947), 1946, Times-All-Time-100-Novels	1946, Pulitzer Prize for Fiction (1947)
John Steinbeck	Cannery Row	Fiction, BBC-100-Most-Inspiring-Novels, Novel, American, 1945, Class-Society	fiction
George Orwell	Animal Farm	Novel, 1945, Fiction, Times-All-Time-100-Novels	fiction
Evelyn Waugh	Brideshead Revisited	Novel, 1945, Fiction, Times-All-Time-100-Novels	fiction
Christopher Isherwood	The Berlin Stories	Novel, 1945, Fiction, Times-All-Time-100-Novels	fiction
Leigh Brackett	Shadow Over Mars (The Nemesis from Terra)	Retro-Hugos2020, Novel, Hugo-Award-for-Best-Novel, Startling Stories, Retro-Hugos, 1944, 1944-1961, Hugo-Award-for-Best-Novel2020, science-fiction	science-fiction
Fritz Leiber	Conjure Wife	Novel, Hugo-Award-for-Best-Novel, Hugo-Award-for-Best-Novel2019, Unknown Worlds, Retro-Hugos, 1943, 2019Retro-Hugos, science-fiction	science-fiction
Robert A. Heinlein	Beyond This Horizon	1942-1948, Astounding Science Fiction, Hugo-Award-for-Best-Novel2018, Hugo-Award-for-Best-Novel, Novel, Retro-Hugos, Retro-Hugos2018, 1942, science-fiction	science-fiction
Ernest Hemingway	For Whom the Bell Tolls	Fiction, BBC-100-Most-Inspiring-Novels, Novel, Le-Mondes-100-Books-of-the-Century, 1940, English	fiction
Richard Wright	Native Son	Novel, Fiction, 1940, Times-All-Time-100-Novels	fiction
Graham Greene	The Power and the Glory	Novel, Fiction, 1940, Times-All-Time-100-Novels	fiction
Carson McCullers	The Heart is A Lonely Hunter	Novel, Fiction, 1940, Times-All-Time-100-Novels	fiction
A. E. van Vogt	Slan	Hugo-Award-for-Best-Novel2016, Astounding Science Fiction, novel, Hugo-Award-for-Best-Novel, Novel, science fiction, Retro-Hugos, 1940-1946, 1940, science-fiction	science-fiction
Raymond Chandler	The Big Sleep	Fiction, BBC-100-Most-Inspiring-Novels, Novel, American, Adventure, Le-Mondes-100-Books-of-the-Century, 1939, English, Times-All-Time-100-Novels	fiction
Nathanael West	The Day of the Locust	Novel, 1939, Fiction, Times-All-Time-100-Novels	fiction
John Steinbeck	The Grapes of Wrath	Fiction, Novel, Pulitzer Prize for Fiction (1940), Le-Mondes-100-Books-of-the-Century, 1939, English, Times-All-Time-100-Novels	fiction
Flann O’Brien	At Swim-Two-Birds	Novel, 1939, Fiction, Times-All-Time-100-Novels	fiction
Daphne du Maurier	Rebecca	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, Crime-Conflict, 1938	fiction
Elizabeth Bowen	The Death of the Heart	Novel, 1938, Fiction, Times-All-Time-100-Novels	fiction
T. H. White	The Sword in the Stone	United Kingdom, Hugo-Award-for-Best-Novel2014, Novel, Hugo-Award-for-Best-Novel, Time's 100 Best Young-Adult Books, Retro-Hugos, 1938, science-fiction	science-fiction
Zora Neale Hurston	Their Eyes Were Watching God	Romance, Fiction, BBC-100-Most-Inspiring-Novels, Novel, American, 1937, Times-All-Time-100-Novels	fiction
Aldous Huxley	Brave New World	BBC-100-Most-Inspiring-Novels, Fiction, British, Literature, Novel, novel, Politics-Power-Protest, 1932, 1933, 1936, 1937, Le-Mondes-100-Books-of-the-Century, 1935, 1934, science fiction	fiction
Noel Streatfeild	Ballet Shoes	Family-Friendship, Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, 1936	fiction
Margaret Mitchell	Gone With the Wind	Fiction, Novel, Pulitzer Prize for Fiction (1937), 1936, Times-All-Time-100-Novels	fiction
R. K. Narayan	Swami and Friends	BBC-100-Most-Inspiring-Novels, Fiction, Indian, Novel, Coming-of-Age, 1935	fiction
Robert Graves	I, Claudius	Novel, Fiction, 1934, Times-All-Time-100-Novels	fiction
John O’Hara	Appointment in Samarra	Novel, Fiction, 1934, Times-All-Time-100-Novels	fiction
Henry Miller	Tropic of Cancer	Novel, Fiction, 1934, Times-All-Time-100-Novels	fiction
Evelyn Waugh	A Handful of Dust	Novel, Fiction, 1934, Times-All-Time-100-Novels	fiction
Anzia Yezierska	Call It Sleep	Novel, Fiction, 1934, Times-All-Time-100-Novels	fiction
Stella Gibbons	Cold Comfort Farm	Family-Friendship, Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, 1932	fiction
William Faulkner	Light in August	1932, Fiction, Novel, Times-All-Time-100-Novels	fiction
Virginia Woolf	To the Lighthouse	Fiction, Literature, Novel, 1932, 1933, 1930, 1931, 1927, 1929, 1928, Times-All-Time-100-Novels	fiction
William Faulkner	The Sound and the Fury	Fiction, Novel, Nobel Prize in Literature (1949), Le-Mondes-100-Books-of-the-Century, 1929, English, Times-All-Time-100-Novels	Fiction
Dashiell Hammett	Red Harvest	1929, Fiction, Novel, Times-All-Time-100-Novels	fiction
Virginia Woolf	Orlando	Fiction, British, BBC-100-Most-Inspiring-Novels, Novel, Rule-Breakers, 1928	fiction
Willa Cather	Death Comes for the Archbishop	Novel, Fiction, 1927, Times-All-Time-100-Novels	fiction
Thornton Wilder	The Bridge of San Luis Rey	Fiction, Novel, Pulitzer Prize for Fiction (1928), 1927, Times-All-Time-100-Novels	1927, Pulitzer Prize for Fiction (1928)
Ernest Hemingway	The Sun Also Rises	Novel, 1926, Fiction, Times-All-Time-100-Novels	fiction
Virginia Woolf	Mrs. Dalloway	Novel, 1925, Fiction, Times-All-Time-100-Novels	fiction
Theodore Dreiser	An American Tragedy	Novel, 1925, Fiction, Times-All-Time-100-Novels	fiction
F. Scott Fitzgerald	The Great Gatsby	Fiction, Novel, 1925, Le-Mondes-100-Books-of-the-Century, English, Times-All-Time-100-Novels	fiction
E.M. Forster	A Passage to India	Novel, Fiction, 1924, Times-All-Time-100-Novels	fiction
L. M. Montgomery	Emily of New Moon	Canadian, Fiction, BBC-100-Most-Inspiring-Novels, Novel, Coming-of-Age, 1923	fiction
